sectionid{}uid{}datetime{}type{}sid
1003541{}347759{}20110701 000000{}d{}36169946
1004251{}348084{}20110701 200832{}d{}36109870
1010376{}352858{}20110701 200833{}d{}36233221
1005326{}348111{}20110701 200843{}d{}36107128
1006295{}349502{}20110701 200847{}d{}36184332
1000863{}345893{}20110701 200855{}v{}361726
1002888{}347281{}20110701 200858{}d{}36107285
1006137{}349443{}20110701 200902{}d{}36182707
1010662{}353096{}20110701 200909{}d{}36222797
1005788{}349188{}20110701 200911{}d{}36174542
1008146{}351031{}20110701 200919{}d{}36200545
1007640{}350591{}20110701 200923{}d{}36184173
1000586{}345673{}20110701 200937{}d{}36129156
1005384{}348884{}20110701 200941{}d{}36123040
1007957{}350869{}20110701 200942{}d{}36211695
1003406{}347662{}20110701 200946{}d{}36150616
1007947{}350860{}20110701 201006{}d{}36211694
1004989{}348623{}20110701 201008{}d{}36177743
1004899{}348546{}20110701 201009{}d{}36175095
1007873{}350798{}20110701 201009{}d{}36211694
1007646{}350595{}20110701 201014{}v{}362772
1001022{}346017{}20110701 201021{}d{}36155388
1003231{}347544{}20110701 201036{}d{}36151188
1009051{}351764{}20110701 201037{}d{}36297064
1008644{}351436{}20110701 201039{}v{}362513
1005901{}349269{}20110701 201055{}d{}36139159
1008338{}351200{}20110701 201055{}d{}36209168
1004024{}347173{}20110701 201057{}d{}36122110
1001658{}346269{}20110701 201058{}v{}361538
1000871{}345893{}20110701 201100{}v{}361726
1004423{}348207{}20110701 201106{}d{}36178950
1003746{}347281{}20110701 201107{}d{}36122108
1001331{}346269{}20110701 201108{}v{}361538
1009643{}352260{}20110701 201109{}d{}36280294
1004704{}345787{}20110701 201110{}d{}36156314
1005937{}349294{}20110701 201110{}d{}36139160
1008623{}351436{}20110701 201118{}v{}362513
1002889{}347282{}20110701 201122{}d{}36107286
1005248{}348800{}20110701 201127{}d{}36192714
1001023{}346018{}20110701 201142{}d{}36155388
1006536{}349770{}20110701 201145{}d{}36198188
1006625{}349836{}20110701 201211{}d{}36186596
1004544{}348301{}20110701 201235{}d{}36180340
1003747{}347279{}20110701 201254{}d{}36122110
1004025{}347993{}20110701 201302{}d{}36122109
1004385{}348113{}20110701 201304{}d{}36109868
1007923{}350840{}20110701 201319{}d{}36211694
1003660{}347830{}20110701 201325{}d{}36122109
1010711{}353138{}20110701 201331{}d{}36204691
1001332{}346270{}20110701 201354{}v{}361538
1004300{}347281{}20110701 201401{}d{}36109868
1008198{}351079{}20110701 201403{}d{}36215652
1009199{}351892{}20110701 201410{}d{}36284338
1006971{}350091{}20110701 201412{}d{}36194647
1003232{}347185{}20110701 201414{}d{}36107287
1003233{}347184{}20110701 201419{}d{}36107287
1001333{}346271{}20110701 201420{}v{}361538
1002765{}347184{}20110701 201421{}d{}36107287
1008355{}351216{}20110701 201421{}d{}36209168
1007979{}350798{}20110701 201422{}d{}36211694
1001987{}346271{}20110701 201432{}v{}361538
1002264{}346892{}20110701 201432{}v{}361538
1002766{}347185{}20110701 201434{}d{}36107287
1004793{}348468{}20110701 201438{}d{}36198096
1000875{}345893{}20110701 201446{}v{}361726
1002767{}347186{}20110701 201458{}d{}36107285
1007801{}350734{}20110701 201504{}d{}36211696
1011202{}353549{}20110701 201530{}d{}36227692
1003377{}347648{}20110701 201605{}d{}36109264
1000813{}345856{}20110701 201610{}d{}36172758
1000861{}345893{}20110701 201610{}v{}361726
1008734{}351524{}20110701 201611{}d{}36230994
1002609{}347071{}20110701 201619{}v{}361538
1007723{}350663{}20110701 201619{}d{}36211696
1003116{}347116{}20110701 201620{}d{}36107286
1000419{}345605{}20110701 201639{}v{}361
1010958{}353274{}20110701 201649{}d{}36207983
1001334{}346272{}20110701 201650{}v{}361538
1004252{}347116{}20110701 201656{}d{}36109869
1008550{}351375{}20110701 201657{}v{}362513
1008225{}351103{}20110701 201705{}d{}36215652
1004911{}348555{}20110701 201711{}d{}36150297
1000459{}345605{}20110701 201728{}v{}361
1004348{}348058{}20110701 201730{}d{}36109868
1005984{}349331{}20110701 201733{}d{}36182567
1002265{}346893{}20110701 201738{}v{}361538
1010088{}352624{}20110701 201749{}d{}36272958
1007826{}350757{}20110701 201750{}d{}36211696
1001659{}346520{}20110701 201800{}v{}361538
1006737{}349861{}20110701 201803{}d{}36186607
1008207{}351086{}20110701 201804{}d{}362461
1010878{}353274{}20110701 201812{}d{}36207983
1001988{}346719{}20110701 201817{}v{}361538
1003453{}347697{}20110701 201820{}d{}36133417
1005398{}348895{}20110701 201825{}d{}36123039
1010873{}353270{}20110701 201833{}d{}36207983
1005076{}348589{}20110701 201838{}d{}36177742
1004947{}348589{}20110701 201842{}d{}36177742
1008591{}351410{}20110701 201843{}v{}362513
1006296{}349503{}20110701 201845{}d{}36184332
1004735{}348434{}20110701 201846{}d{}36192456
1010842{}353243{}20110701 201850{}d{}36207981
1000629{}345706{}20110701 201857{}d{}36162967
1002890{}347116{}20110701 201910{}d{}36151187
1010679{}353110{}20110701 201928{}d{}36222799
1006203{}349503{}20110701 201946{}d{}36184334
1010804{}353197{}20110701 201955{}d{}36223048
1005035{}348651{}20110701 201957{}d{}36177742
1008848{}351615{}20110701 202011{}d{}36270989
1003921{}347947{}20110701 202033{}d{}36122108
1004253{}348113{}20110701 202036{}d{}36109868
1001989{}346720{}20110701 202037{}v{}361538
1003922{}347184{}20110701 202056{}d{}36122110
1007115{}350202{}20110701 202056{}d{}36184137
1002891{}347283{}20110701 202108{}d{}36107285
1002610{}347072{}20110701 202116{}v{}361538
1008182{}351064{}20110701 202117{}d{}36215651
1004537{}348295{}20110701 202138{}d{}36136504
1007834{}350765{}20110701 202140{}d{}36211696
1005660{}349087{}20110701 202145{}d{}36176470
1000357{}345564{}20110701 202209{}v{}361595
1003923{}347948{}20110701 202209{}d{}36122110
1005888{}349260{}20110701 202214{}d{}36139159
1008503{}351336{}20110701 202222{}d{}36207966
1008064{}350958{}20110701 202226{}d{}36211694
1000991{}345990{}20110701 202233{}d{}36155388
1003117{}347459{}20110701 202304{}d{}36107285
1010554{}353008{}20110701 202316{}d{}36233222
1010108{}352642{}20110701 202318{}d{}36272957
1007205{}350246{}20110701 202340{}d{}36184137
1008289{}351160{}20110701 202420{}d{}36233246
1010248{}352748{}20110701 202420{}d{}36234159
1008083{}350975{}20110701 202421{}d{}36211695
1011104{}353463{}20110701 202447{}d{}36227685
1009891{}352470{}20110701 202500{}d{}36272957
1003748{}347869{}20110701 202501{}d{}36122108
1006697{}349894{}20110701 202503{}d{}36186607
1003234{}347545{}20110701 202506{}d{}36107287
1005500{}348973{}20110701 202515{}d{}36151535
1009536{}352171{}20110701 202525{}d{}36280293
1010078{}352618{}20110701 202526{}d{}36272959
1003843{}347459{}20110701 202533{}d{}36122108
1006297{}349577{}20110701 202544{}d{}36184333
1007243{}350246{}20110701 202550{}d{}36184138
1004150{}348058{}20110701 202604{}d{}36109064
1004026{}347869{}20110701 202611{}d{}36122108
1010174{}352685{}20110701 202613{}d{}36233925
1010722{}353148{}20110701 202614{}d{}36253967
1010956{}353274{}20110701 202616{}d{}36207984
1000567{}345668{}20110701 202618{}v{}361
1007752{}350690{}20110701 202619{}d{}36211696
1010323{}352811{}20110701 202622{}d{}36233220
1003844{}347914{}20110701 202627{}d{}36122109
1009167{}351864{}20110701 202636{}d{}36279427
1010247{}352747{}20110701 202643{}d{}36297892
1007944{}350857{}20110701 202648{}d{}36211694
1007244{}350246{}20110701 202658{}d{}36184138
1008587{}351408{}20110701 202702{}v{}362513
1002687{}347116{}20110701 202706{}d{}36107905
1007166{}350246{}20110701 202729{}d{}36184138
1002611{}346273{}20110701 202741{}v{}361538
1003018{}347388{}20110701 202741{}d{}36107285
1006431{}349680{}20110701 202742{}d{}36183915
1006660{}349865{}20110701 202754{}d{}36186596
1002612{}347073{}20110701 202803{}v{}361538
1010280{}352776{}20110701 202811{}d{}36283851
1009935{}352506{}20110701 202815{}d{}36272959
1004027{}347994{}20110701 202824{}d{}36122108
1008169{}351052{}20110701 202825{}d{}36215652
1009917{}352493{}20110701 202829{}d{}36272045
1003508{}347737{}20110701 202847{}d{}36107570
1008354{}351215{}20110701 202910{}d{}36209169
1008346{}351203{}20110701 202913{}d{}36209169
1006122{}349429{}20110701 202916{}d{}36166021
1008422{}351275{}20110701 202925{}d{}36247714
1009596{}352221{}20110701 202932{}d{}36280294
1008462{}351305{}20110701 202933{}d{}36233232
1001661{}346274{}20110701 202941{}v{}361538
1010152{}352668{}20110701 202945{}d{}36272967
1010868{}353265{}20110701 202946{}d{}36207984
1001335{}346273{}20110701 203003{}v{}361538
1010989{}353361{}20110701 203007{}d{}36248588
1004254{}348114{}20110701 203015{}d{}36109869
1008341{}351203{}20110701 203018{}d{}36209169
1004810{}348481{}20110701 203024{}d{}36198098
1011095{}353455{}20110701 203029{}d{}36227685
1004811{}348481{}20110701 203030{}d{}36198096
1005370{}347649{}20110701 203031{}d{}36123040
1001336{}346274{}20110701 203033{}v{}361538
1005471{}348949{}20110701 203046{}d{}36134010
1009319{}351992{}20110701 203055{}d{}36227896
1003845{}347545{}20110701 203109{}d{}36122110
1005533{}349002{}20110701 203114{}d{}36151536
1001337{}346275{}20110701 203120{}v{}361538
1011055{}353419{}20110701 203126{}d{}36276860
1005902{}349260{}20110701 203158{}d{}36139159
1002768{}347187{}20110701 203202{}d{}36107287
1003661{}347831{}20110701 203207{}d{}36122108
1003019{}347389{}20110701 203227{}d{}36107285
1010593{}353038{}20110701 203243{}d{}36233222
1010196{}352705{}20110701 203244{}d{}36222652
1003846{}347915{}20110701 203301{}d{}36122108
1003304{}347597{}20110701 203303{}d{}36167295
1002266{}346894{}20110701 203310{}v{}361538
1002267{}346722{}20110701 203315{}v{}361538
1010226{}352730{}20110701 203317{}d{}36233926
1009651{}352267{}20110701 203333{}d{}36280294
1006071{}349397{}20110701 203342{}d{}36151185
1005820{}349216{}20110701 203346{}d{}36157671
1001990{}346721{}20110701 203355{}v{}361538
1006298{}349578{}20110701 203404{}d{}36184334
1009100{}351803{}20110701 203417{}d{}36245605
1003924{}347389{}20110701 203418{}d{}36122109
1010768{}351160{}20110701 203424{}d{}36233939
1001991{}346722{}20110701 203427{}v{}361538
1004028{}347995{}20110701 203435{}d{}36122109
1009325{}351998{}20110701 203447{}d{}36227896
1003925{}347389{}20110701 203457{}d{}36122109
1007654{}350603{}20110701 203500{}v{}362337
1001992{}346723{}20110701 203504{}v{}361538
1009238{}351921{}20110701 203504{}d{}36208190
1008219{}351097{}20110701 203518{}d{}36215651
1004151{}348059{}20110701 203531{}d{}36109065
1008459{}351304{}20110701 203537{}d{}36233232
1000708{}345767{}20110701 203547{}d{}36172760
1006097{}349398{}20110701 203555{}d{}36123740
1009064{}351773{}20110701 203602{}d{}36297066
1004483{}348257{}20110701 203604{}d{}36178951
1006916{}350040{}20110701 203627{}d{}36197535
1009429{}352084{}20110701 203631{}d{}36227897
1005661{}349088{}20110701 203650{}d{}36176470
1001662{}346521{}20110701 203656{}v{}361538
1011178{}353527{}20110701 203712{}d{}36254248
1008279{}351151{}20110701 203714{}d{}36233244
1006909{}350040{}20110701 203727{}d{}36197535
1005077{}348680{}20110701 203734{}d{}36177742
1000742{}345797{}20110701 203740{}d{}36172758
1010540{}352997{}20110701 203741{}d{}36233220
1003562{}347780{}20110701 203746{}d{}36174546
1005078{}348681{}20110701 203756{}d{}36177743
1001664{}346522{}20110701 203808{}v{}361538
1002613{}347074{}20110701 203816{}v{}361538
1005914{}349278{}20110701 203818{}d{}36139160
1006569{}349763{}20110701 203827{}d{}36198187
1004089{}347388{}20110701 203828{}d{}36109064
1009322{}351995{}20110701 203846{}d{}36227896
1003662{}347393{}20110701 203848{}d{}36122110
1003847{}347393{}20110701 203851{}d{}36122110
1004386{}347389{}20110701 203856{}d{}36109869
1001338{}346276{}20110701 203857{}v{}361538
1001339{}346277{}20110701 203907{}v{}361538
1005915{}349260{}20110701 203911{}d{}36139160
1006072{}349398{}20110701 203912{}d{}36123740
1009246{}351928{}20110701 203918{}d{}36208190
1004387{}348178{}20110701 203922{}d{}36109870
1009367{}352033{}20110701 203936{}d{}36227897
1004564{}348315{}20110701 203940{}d{}36194240
1007960{}350872{}20110701 203945{}d{}36211695
1009756{}352356{}20110701 203946{}d{}36280293
1003663{}347391{}20110701 203947{}d{}36122108
1011154{}353507{}20110701 203957{}d{}36254243
1007867{}350793{}20110701 204014{}d{}36211696
1004915{}348559{}20110701 204020{}d{}36150296
1008922{}351666{}20110701 204026{}d{}36270987
1005916{}349279{}20110701 204044{}d{}36139159
1009042{}351755{}20110701 204048{}d{}36297065
1001993{}346278{}20110701 204049{}v{}361538
1010694{}353122{}20110701 204054{}d{}36286812
1005079{}348682{}20110701 204100{}d{}36177743
1006626{}349837{}20110701 204102{}d{}36186607
1008209{}351088{}20110701 204106{}d{}36215653
1007544{}350524{}20110701 204109{}d{}36195780
1010222{}352726{}20110701 204110{}d{}36233927
1000391{}345586{}20110701 204121{}v{}361548
1006123{}349430{}20110701 204124{}d{}36166020
1001340{}346278{}20110701 204125{}v{}361538
1000670{}345734{}20110701 204128{}d{}36133898
1004193{}347547{}20110701 204130{}d{}36109870
1007636{}350587{}20110701 204131{}d{}36184690
1011189{}353537{}20110701 204143{}d{}36227691
1005355{}347830{}20110701 204146{}d{}36123039
1006251{}349539{}20110701 204147{}d{}36184332
1001005{}346001{}20110701 204149{}d{}36155388
1002892{}347284{}20110701 204201{}d{}36107285
1008662{}351464{}20110701 204202{}v{}362513
1004128{}348045{}20110701 204211{}d{}36109064
1006570{}349763{}20110701 204223{}d{}36198187
1003848{}347916{}20110701 204227{}d{}36122110
1007428{}350442{}20110701 204249{}d{}36195780
1008759{}351547{}20110701 204300{}d{}36211116
1008097{}350985{}20110701 204313{}d{}36211696
1003378{}347649{}20110701 204318{}d{}36103414
1007931{}350847{}20110701 204330{}d{}36211694
1003454{}347698{}20110701 204337{}d{}36184969
1008056{}350950{}20110701 204350{}d{}36211694
1000657{}345723{}20110701 204355{}d{}36133896
1010996{}353368{}20110701 204355{}d{}36276654
1004029{}347950{}20110701 204401{}d{}36122108
1003664{}347832{}20110701 204405{}d{}36122110
1001341{}346279{}20110701 204410{}v{}361538
1003235{}347546{}20110701 204426{}d{}36107287
1004484{}348258{}20110701 204430{}d{}36178949
1006698{}349895{}20110701 204445{}d{}36186595
1006558{}349788{}20110701 204449{}d{}36193865
1003236{}347547{}20110701 204453{}d{}36151188
1011023{}353389{}20110701 204455{}d{}36221870
1005940{}349296{}20110701 204506{}d{}36177112
1008099{}350987{}20110701 204508{}d{}36211695
1002268{}346895{}20110701 204517{}v{}361538
1009571{}352200{}20110701 204521{}d{}36280293
1002269{}346896{}20110701 204529{}v{}361538
1001342{}346280{}20110701 204547{}v{}361538
1007429{}350443{}20110701 204551{}d{}36195780
1003020{}347390{}20110701 204601{}d{}36107285
1002614{}347075{}20110701 204606{}v{}361538
1003021{}347391{}20110701 204606{}d{}36107285
1003926{}347949{}20110701 204629{}d{}36122108
1004534{}348292{}20110701 204656{}d{}36177053
1003749{}347870{}20110701 204659{}d{}36122110
1003022{}347392{}20110701 204710{}d{}36107285
1004030{}347870{}20110701 204719{}d{}36122110
1006765{}349831{}20110701 204724{}d{}36186595
1009712{}352319{}20110701 204733{}d{}36280292
1003849{}347284{}20110701 204744{}d{}36122109
1006627{}349838{}20110701 204745{}d{}36186596
1003023{}347393{}20110701 204748{}d{}36107287
1001343{}346281{}20110701 204749{}v{}361538
1003024{}347393{}20110701 204749{}d{}36107287
1003927{}347546{}20110701 204755{}d{}36122110
1004074{}348019{}20110701 204757{}d{}36109066
1006204{}349504{}20110701 204806{}d{}36184333
1006537{}349771{}20110701 204813{}d{}36198188
1001665{}346523{}20110701 204824{}v{}361538
1002893{}347285{}20110701 204835{}d{}36107287
1000346{}345555{}20110701 204843{}v{}36109
1006339{}349611{}20110701 204845{}d{}36184332
1007245{}350311{}20110701 204851{}d{}36184138
1000568{}345606{}20110701 204906{}v{}361
1000493{}345606{}20110701 204909{}v{}361
1002270{}346897{}20110701 204925{}v{}361538
1003665{}347833{}20110701 204940{}d{}36122109
1003850{}347191{}20110701 204952{}d{}36122108
1010335{}352820{}20110701 205002{}d{}36233221
1008069{}350963{}20110701 205005{}d{}36211696
1004255{}347551{}20110701 205012{}d{}36109870
1000743{}345798{}20110701 205017{}d{}36157421
1007706{}350647{}20110701 205030{}v{}36241
1009523{}352138{}20110701 205036{}d{}36280292
1005427{}348915{}20110701 205041{}d{}36183702
1008211{}351090{}20110701 205051{}d{}36215652
1007808{}350741{}20110701 205057{}d{}36211696
1009676{}352287{}20110701 205100{}d{}36280292
1007334{}350383{}20110701 205123{}d{}36173859
1011171{}353521{}20110701 205124{}d{}36254243
1004031{}347994{}20110701 205130{}d{}36122109
1004388{}347870{}20110701 205130{}d{}36109870
1010526{}352986{}20110701 205130{}d{}36233220
1010267{}352763{}20110701 205131{}d{}36279596
1009493{}352138{}20110701 205144{}d{}36227895
1007848{}350775{}20110701 205154{}d{}36211695
1002616{}347076{}20110701 205200{}v{}361538
1007846{}350773{}20110701 205202{}d{}36211696
1005578{}349036{}20110701 205209{}d{}36151536
1002271{}346898{}20110701 205226{}v{}361538
1008307{}351174{}20110701 205227{}d{}36212118
1011098{}353458{}20110701 205229{}d{}36227685
1005127{}348709{}20110701 205231{}d{}36177742
1008750{}351538{}20110701 205233{}d{}36210588
1002769{}347115{}20110701 205238{}d{}36107286
1000992{}345974{}20110701 205248{}d{}36155388
1009810{}352402{}20110701 205251{}d{}36272025
1004032{}347950{}20110701 205304{}d{}36122108
1000569{}345606{}20110701 205306{}v{}361
1005318{}348840{}20110701 205307{}d{}36107129
1011018{}353384{}20110701 205307{}d{}36221868
1000420{}345606{}20110701 205309{}v{}361
1002272{}346899{}20110701 205315{}v{}361538
1007301{}350354{}20110701 205320{}d{}36184139
1000784{}345834{}20110701 205325{}d{}36172759
1004033{}347115{}20110701 205327{}d{}36122109
1004196{}348085{}20110701 205332{}d{}36109868
1007901{}350822{}20110701 205342{}d{}36211695
1009771{}352370{}20110701 205359{}d{}36280294
1004668{}348390{}20110701 205406{}d{}36192456
1008876{}351637{}20110701 205410{}d{}36270988
1002770{}347188{}20110701 205411{}d{}36107285
1007652{}350601{}20110701 205412{}v{}362419
1005128{}348710{}20110701 205417{}d{}36177742
1003851{}347917{}20110701 205421{}d{}36122108
1007729{}350668{}20110701 205424{}d{}36211696
1006525{}349763{}20110701 205436{}d{}36198187
1003468{}347707{}20110701 205438{}d{}36197490
1003118{}347460{}20110701 205507{}d{}36107285
1002617{}347077{}20110701 205516{}v{}361538
1010769{}351160{}20110701 205519{}d{}36233939
1011065{}353429{}20110701 205519{}d{}36227686
1009613{}352237{}20110701 205530{}d{}36280292
1005399{}348896{}20110701 205533{}d{}36123040
1010739{}353164{}20110701 205548{}d{}36253967
1002677{}347108{}20110701 205601{}d{}36131848
1003750{}345589{}20110701 205603{}d{}36122110
1002273{}346900{}20110701 205610{}v{}361538
1000421{}345606{}20110701 205615{}v{}361
1000422{}345606{}20110701 205619{}v{}361
1002618{}346900{}20110701 205630{}v{}361538
1006629{}349839{}20110701 205635{}d{}36186595
1008300{}351168{}20110701 205637{}d{}36247718
1007070{}350165{}20110701 205638{}d{}36194642
1002771{}347189{}20110701 205650{}d{}36107285
1010723{}353149{}20110701 205655{}d{}36253968
1008578{}351400{}20110701 205704{}v{}362513
1005207{}348772{}20110701 205709{}d{}36150213
1010721{}353147{}20110701 205711{}d{}36253969
1005231{}348772{}20110701 205712{}d{}36150212
1005208{}348773{}20110701 205716{}d{}36192715
1008363{}351224{}20110701 205720{}d{}36209168
1004034{}347950{}20110701 205726{}d{}36122108
1008261{}351134{}20110701 205730{}d{}36233246
1003280{}347577{}20110701 205739{}d{}36124201
1002894{}347190{}20110701 205740{}d{}36107287
1003237{}347190{}20110701 205741{}d{}36107286
1002772{}347190{}20110701 205742{}d{}36107286
1004705{}348413{}20110701 205743{}d{}36192458
1003238{}347548{}20110701 205749{}d{}36107285
1006972{}350092{}20110701 205755{}d{}36194634
1010800{}353211{}20110701 205800{}d{}36232884
1003239{}347190{}20110701 205802{}d{}36107286
1005080{}348683{}20110701 205803{}d{}36177743
1007854{}350780{}20110701 205812{}d{}36211696
1010201{}352710{}20110701 205820{}d{}36233925
1011039{}353403{}20110701 205820{}d{}36221870
1006559{}349763{}20110701 205824{}d{}36198187
1009832{}352422{}20110701 205825{}d{}36272023
1010298{}352792{}20110701 205828{}d{}36247710
1002274{}346901{}20110701 205831{}v{}361538
1000423{}345606{}20110701 205833{}v{}361
1006252{}349540{}20110701 205837{}d{}36184332
1000460{}345606{}20110701 205842{}v{}361
1000358{}345565{}20110701 205847{}v{}36109
1009267{}351946{}20110701 205854{}d{}36236764
1003852{}347918{}20110701 205907{}d{}36122109
1011162{}353515{}20110701 205907{}d{}36254244
1004531{}348291{}20110701 205913{}d{}36172236
1004129{}347419{}20110701 205925{}d{}36109065
1004532{}348292{}20110701 205942{}d{}36177055
1008035{}350933{}20110701 205946{}d{}36211694
1008940{}351679{}20110701 205959{}d{}36270987
1009489{}352134{}20110701 210025{}d{}36227896
1004152{}348060{}20110701 210030{}d{}36109065
1007983{}350891{}20110701 210038{}d{}36211696
1000971{}345974{}20110701 210045{}d{}36155388
1002275{}346902{}20110701 210049{}v{}361538
1004090{}347419{}20110701 210051{}d{}36109066
1007832{}350763{}20110701 210051{}d{}36211695
1011100{}353460{}20110701 210056{}d{}36227685
1003928{}347950{}20110701 210103{}d{}36122109
1009521{}352159{}20110701 210115{}d{}36280292
1009611{}352235{}20110701 210116{}d{}36280292
1003458{}347700{}20110701 210145{}d{}36184971
1000785{}345835{}20110701 210158{}d{}36191713
1002276{}346903{}20110701 210158{}v{}361538
1007624{}350577{}20110701 210203{}d{}36184690
1004736{}348361{}20110701 210205{}d{}36192457
1001344{}346282{}20110701 210215{}v{}361538
1005690{}349110{}20110701 210219{}d{}36175317
1000851{}345886{}20110701 210220{}d{}36172760
1008139{}351025{}20110701 210225{}d{}36211695
1002895{}347286{}20110701 210231{}d{}36107287
1011194{}353542{}20110701 210231{}d{}36227690
1005172{}348744{}20110701 210244{}d{}36174569
1008691{}351485{}20110701 210258{}d{}36270968
1004627{}348361{}20110701 210306{}d{}36192457
1006876{}350017{}20110701 210311{}d{}36194656
1007928{}350844{}20110701 210312{}d{}36211696
1005262{}348806{}20110701 210314{}d{}36133427
1001667{}346524{}20110701 210320{}v{}361538
1000424{}345607{}20110701 210323{}v{}361
1003929{}347393{}20110701 210323{}d{}36122110
1008847{}351614{}20110701 210336{}d{}36270988
1009483{}352130{}20110701 210338{}d{}36227895
1006571{}349763{}20110701 210345{}d{}36198187
1007071{}350166{}20110701 210345{}d{}36194642
1000528{}345606{}20110701 210353{}v{}361
1000425{}345606{}20110701 210356{}v{}361
1002773{}347191{}20110701 210356{}d{}36107285
1007673{}350620{}20110701 210419{}v{}362307
1004091{}347115{}20110701 210422{}d{}36109065
1006205{}349505{}20110701 210434{}d{}36184334
1009346{}352017{}20110701 210436{}d{}36227895
1010264{}352760{}20110701 210438{}d{}36233937
1010024{}352576{}20110701 210439{}d{}36272957
1003666{}347834{}20110701 210441{}d{}36122109
1000616{}345699{}20110701 210449{}v{}361672
1006832{}349983{}20110701 210453{}d{}36194656
1002619{}347078{}20110701 210454{}v{}361538
1003240{}347549{}20110701 210456{}d{}36107285
1003241{}347550{}20110701 210459{}d{}36107286
1008003{}350908{}20110701 210500{}d{}36211694
1000618{}345699{}20110701 210503{}v{}361672
1001668{}346525{}20110701 210504{}v{}361538
1000494{}345606{}20110701 210507{}v{}361
1002620{}347079{}20110701 210507{}v{}361538
1000426{}345606{}20110701 210515{}v{}361
1008025{}350924{}20110701 210515{}d{}36211695
1011120{}348228{}20110701 210525{}d{}36227687
1009377{}352042{}20110701 210536{}d{}36227897
1000709{}345768{}20110701 210538{}d{}36191713
1002774{}347192{}20110701 210542{}d{}36107286
1007748{}350687{}20110701 210549{}d{}36211695
1000852{}345887{}20110701 210556{}d{}36172758
1004857{}348514{}20110701 210603{}d{}36198096
1002775{}347193{}20110701 210616{}d{}36107287
1008942{}351681{}20110701 210624{}d{}36270989
1003459{}347701{}20110701 210627{}d{}36184969
1003542{}347760{}20110701 210632{}d{}36169946
1003667{}347286{}20110701 210632{}d{}36122110
1000993{}345991{}20110701 210633{}d{}36155388
1000378{}345576{}20110701 210637{}v{}36109
1005336{}348852{}20110701 210645{}d{}36107128
1005467{}348945{}20110701 210647{}d{}36174558
1001995{}346724{}20110701 210653{}v{}361538
1000814{}345857{}20110701 210656{}d{}36172759
1001669{}346526{}20110701 210725{}v{}361538
1006572{}349795{}20110701 210731{}d{}36198187
1003930{}347950{}20110701 210732{}d{}36122108
1008946{}351684{}20110701 210736{}d{}36270988
1001996{}346524{}20110701 210751{}v{}361538
1004092{}348026{}20110701 210755{}d{}36109064
1005775{}349175{}20110701 210757{}d{}36183808
1004389{}347549{}20110701 210804{}d{}36109868
1002621{}346528{}20110701 210812{}v{}361538
1005534{}349003{}20110701 210813{}d{}36151536
1006340{}349612{}20110701 210814{}d{}36184333
1000623{}345702{}20110701 210835{}d{}36162967
1003668{}347192{}20110701 210837{}d{}36122109
1002622{}347080{}20110701 210840{}v{}361538
1006877{}350018{}20110701 210842{}d{}36195900
1007320{}350371{}20110701 210843{}d{}36173748
1006462{}349707{}20110701 210846{}d{}36194269
1004111{}348026{}20110701 210848{}d{}36109064
1005129{}348711{}20110701 210848{}d{}36177742
1004451{}348229{}20110701 210849{}d{}36178950
1007777{}350713{}20110701 210856{}d{}36211694
1007302{}350355{}20110701 210859{}d{}36184137
1005977{}349326{}20110701 210900{}d{}36131928
1007369{}350371{}20110701 210902{}d{}36173747
1002623{}346524{}20110701 210903{}v{}361538
1009261{}351941{}20110701 210912{}d{}36208192
1000394{}345589{}20110701 210914{}d{}36109880
1003751{}347550{}20110701 210918{}d{}36122109
1003752{}347871{}20110701 210925{}d{}36122109
1002896{}347287{}20110701 210929{}d{}36107287
1007997{}350902{}20110701 210932{}d{}36211694
1004256{}348115{}20110701 210934{}d{}36109868
1004948{}348590{}20110701 210934{}d{}36177743
1009533{}352169{}20110701 210936{}d{}36280292
1004301{}348115{}20110701 210939{}d{}36109869
1000570{}345606{}20110701 210948{}v{}361
1000495{}345606{}20110701 210955{}v{}361
1007430{}350444{}20110701 210958{}d{}36194459
1010781{}353197{}20110701 210958{}d{}36223048
1009407{}352042{}20110701 211003{}d{}36243941
1010941{}353325{}20110701 211012{}d{}36207983
1006573{}349795{}20110701 211017{}d{}36198187
1002277{}346904{}20110701 211019{}v{}361538
1002897{}347288{}20110701 211020{}d{}36107287
1003853{}347188{}20110701 211023{}d{}36122108
1007940{}350854{}20110701 211025{}d{}36211694
1003242{}347551{}20110701 211037{}d{}36151188
1001997{}346725{}20110701 211058{}v{}361538
1001998{}346726{}20110701 211117{}v{}361538
1003119{}347461{}20110701 211121{}d{}36107286
1000640{}345702{}20110701 211150{}d{}36162967
1001024{}346019{}20110701 211150{}d{}36155389
1003669{}347288{}20110701 211155{}d{}36122110
1002278{}346905{}20110701 211224{}v{}361538
1002624{}347081{}20110701 211234{}v{}361538
1003670{}347835{}20110701 211242{}d{}36122110
1008237{}351113{}20110701 211244{}d{}36233245
1006463{}349708{}20110701 211247{}d{}36194269
1003528{}347752{}20110701 211251{}d{}36134369
1001345{}346283{}20110701 211304{}v{}361538
1008458{}351303{}20110701 211304{}d{}36247714
1002898{}347289{}20110701 211311{}d{}36107286
1008719{}351510{}20110701 211312{}d{}36211255
1004153{}348026{}20110701 211328{}d{}36109064
1008008{}350913{}20110701 211350{}d{}36211695
